,car,date,VAR,VALUE
0,CAR0,2021-02-03,VAR0,0.14314554674746194
1,CAR0,2021-01-06,VAR0,0.6949506409145859
2,CAR1,2021-02-12,VAR3,0.10369307292975183
3,CAR2,2021-01-12,VAR3,0.2211807116721387
4,CAR2,2021-02-09,VAR0,0.49912259573555506
5,CAR0,2021-01-30,VAR2,0.29157879076631366
6,CAR1,2021-02-03,VAR2,0.012820640580399223
7,CAR2,2021-01-23,VAR2,0.9464468703874042
8,CAR0,2021-02-08,VAR0,0.7542782722518777
9,CAR0,2021-01-20,VAR1,0.4308814276611951
10,CAR1,2021-01-29,VAR0,0.5368387806312833
11,CAR2,2021-02-05,VAR3,0.8851564913871858
12,CAR2,2021-02-01,VAR0,0.008930210908206893
13,CAR1,2021-02-06,VAR0,0.279602977535079
14,CAR2,2021-01-27,VAR2,0.9647755567454953
15,CAR2,2021-01-27,VAR1,0.9144009805395185
16,CAR1,2021-01-20,VAR1,0.1148615523566967
17,CAR2,2021-02-03,VAR3,0.7266547032604531
18,CAR1,2021-01-08,VAR1,0.8623868480106412
19,CAR0,2021-01-01,VAR1,0.8330646880798532
22,CAR1,2021-01-19,VAR3,0.7826496411381535
23,CAR0,2021-01-28,VAR3,0.8575211137610362
24,CAR1,2021-02-14,VAR2,0.0443414806022141
25,CAR1,2021-02-19,VAR1,0.40672040804597076
26,CAR2,2021-01-03,VAR0,0.5194797329200816
27,CAR0,2021-01-10,VAR3,0.22169033255152604
28,CAR2,2021-01-15,VAR0,0.5368405959272711
29,CAR1,2021-01-05,VAR0,0.12374170567048748
30,CAR2,2021-01-26,VAR3,0.20454906000722672
31,CAR1,2021-02-10,VAR1,0.044657951359145076
32,CAR2,2021-01-09,VAR0,0.28896756655286093
34,CAR0,2021-02-05,VAR0,0.94079675926957
35,CAR0,2021-01-25,VAR2,0.6276884770668866
36,CAR2,2021-01-16,VAR1,0.49525497184041944
37,CAR0,2021-01-03,VAR2,0.03195750351387183
38,CAR0,2021-01-26,VAR1,0.4174633342096137
39,CAR2,2021-01-12,VAR0,0.9263946064243497
40,CAR1,2021-01-07,VAR1,0.1637558584638653
41,CAR0,2021-02-14,VAR0,0.5983860510330523
42,CAR1,2021-01-06,VAR2,0.6863195791424959
43,CAR1,2021-01-15,VAR0,0.9575573226053441
44,CAR2,2021-02-11,VAR0,0.3126314814379031
45,CAR1,2021-01-26,VAR3,0.13693084972636416
47,CAR2,2021-02-10,VAR3,0.1498402127919508
48,CAR2,2021-02-12,VAR0,0.9201812179672351
49,CAR1,2021-01-27,VAR3,0.0806384821411521
50,CAR2,2021-01-12,VAR1,0.8356648855029167
52,CAR0,2021-01-26,VAR3,0.36558177115254964
53,CAR2,2021-01-15,VAR3,0.6034166842557283
54,CAR0,2021-02-01,VAR3,0.7001200227123451
57,CAR0,2021-02-13,VAR3,0.4270698192197119
58,CAR2,2021-01-17,VAR2,0.8971815286154331
59,CAR2,2021-02-16,VAR0,0.7558956725384084
60,CAR2,2021-01-12,VAR2,0.04073191958323408
61,CAR0,2021-01-28,VAR2,0.8310404315194809
62,CAR0,2021-02-03,VAR3,0.8006296723709867
63,CAR0,2021-01-25,VAR1,0.18674652817169046
64,CAR2,2021-01-08,VAR2,0.38094777829197757
65,CAR2,2021-02-02,VAR3,0.932035100077631
66,CAR0,2021-02-02,VAR3,0.9898237088894817
67,CAR0,2021-02-02,VAR1,0.5655124038620841
68,CAR0,2021-01-14,VAR0,0.03590114175087222
69,CAR0,2021-02-01,VAR0,0.3007840903987572
70,CAR2,2021-02-01,VAR1,0.7886744209940694
71,CAR1,2021-02-17,VAR3,0.8780651419269152
72,CAR1,2021-01-26,VAR0,0.9188039464393076
73,CAR1,2021-01-23,VAR1,0.08291284562045353
75,CAR0,2021-02-18,VAR0,0.18287599139877075
76,CAR2,2021-01-21,VAR3,0.7188591410736881
77,CAR2,2021-02-06,VAR3,0.7203300997580323
78,CAR0,2021-02-15,VAR0,0.5439624208287417
79,CAR0,2021-01-22,VAR3,0.38947692696217306
80,CAR0,2021-01-08,VAR2,0.010455049939920857
81,CAR0,2021-02-06,VAR3,0.3677251257394826
82,CAR1,2021-01-21,VAR1,0.32815483561892766
83,CAR0,2021-01-10,VAR0,0.7706540123249035
84,CAR0,2021-02-07,VAR1,0.09039843371865852
85,CAR1,2021-01-07,VAR2,0.8250831534600557
86,CAR2,2021-02-10,VAR0,0.08594547487674997
87,CAR1,2021-01-03,VAR1,0.23694104453951237
89,CAR2,2021-01-05,VAR1,0.1578641899398493
90,CAR2,2021-02-02,VAR0,0.1876017079678397
91,CAR2,2021-01-01,VAR3,0.671480158199244
92,CAR0,2021-01-01,VAR3,0.646597658237199
93,CAR0,2021-01-18,VAR3,0.9316684937662094
94,CAR2,2021-01-18,VAR0,0.4432477781736972
95,CAR2,2021-01-25,VAR0,0.013089342314180796
96,CAR2,2021-02-10,VAR1,0.5931859504227344
97,CAR0,2021-01-04,VAR1,0.017094241715431502
99,CAR0,2021-02-04,VAR2,0.5305636140484424
